"id"	"sex"	"age"	"condition"	"response"	"accuracy"	"time"
"102"	102	"m"	26	"C"	66	100	335
"103"	103	"m"	24	"A"	35	56	108
"104"	104	"m"	28	"B"	45	51	122
"105"	105	"f"	29	"C"	33	109	136
"106"	106	"f"	23	"A"	42	61	207
"107"	107	"f"	26	"B"	49	6	214
"108"	108	"f"	25	"C"	46	95	266
"109"	109	"m"	24	"A"	44	52	272
"110"	110	"f"	26	"B"	32	1	87
"111"	111	"f"	26	"C"	93	91	455
"112"	112	"f"	25	"A"	28	65	94
"113"	113	"m"	24	"B"	35	33	144
"114"	114	"m"	23	"C"	69	91	309
"115"	115	"f"	24	"A"	43	48	288
"116"	116	"m"	25	"B"	38	6	224
"117"	117	"f"	24	"C"	72	92	305
"118"	118	"f"	27	"A"	49	49	248
"119"	119	"m"	24	"B"	35	209	97
"120"	120	"f"	29	"C"	63	106	303
"121"	121	"m"	24	"A"	45	46	167
"122"	122	"m"	28	"B"	43	71	212
"123"	123	"m"	25	"C"	60	103	305
"124"	124	"f"	23	"A"	49	53	252
"125"	125	"m"	26	"B"	34	1	141
"126"	126	"m"	25	"C"	33	98	218
"127"	127	"f"	24	"A"	31	30	194
"128"	128	"f"	27	"B"	36	53	122
"129"	129	"f"	26	"C"	61	98	282
"130"	130	"m"	27	"A"	39	49	139
"131"	131	"m"	23	"B"	33	111	178
"132"	132	"f"	24	"C"	55	97	284
"133"	133	"f"	23	"A"	51	41	305
"134"	134	"m"	19	"B"	48	25	250
"135"	135	"f"	26	"C"	74	100	313
"136"	136	"m"	27	"A"	45	53	243
"137"	137	"m"	26	"B"	28	52	118
"138"	138	"m"	22	"C"	56	101	214
"139"	139	"m"	23	"A"	44	58	253
"140"	140	"f"	21	"B"	49	12	280
"141"	141	"f"	27	"C"	74	111	487
"142"	142	"m"	24	"A"	51	46	226
"143"	143	"m"	23	"B"	43	22	238
"144"	144	"f"	27	"C"	67	97	315
"145"	145	"m"	24	"A"	36	56	174
"146"	146	"f"	22	"B"	39	9	215
"147"	147	"f"	25	"C"	67	102	384
"148"	148	"m"	25	"A"	46	52	281
"149"	149	"m"	25	"B"	42	62	180
"150"	150	"m"	26	"C"	53	96	237
